"name"	"gender"	"age"	"competition"	"stage_name"	"stage_num"	"date"	"order_stage"	"order_day"	"order_session"	"local_time"	"got_through"
"Sudo Rina"	"F"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	60	12	4	06:15:00 PM	1
"Szymanowski Michał"	"M"	27	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	61	13	5	07:10:00 PM	1
"Takeda Rikono"	"F"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	62	14	6	07:35:00 PM	0
"Tarsevich-Nikolaev Arseny"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	63	15	7	08:00:00 PM	1
"Tartakovsky Alexei"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	64	16	8	08:25:00 PM	1
"Tsang Hin Yat"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	65	1	1	10:00:00 AM	0
"Ullman Alexander"	"M"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	66	2	2	10:25:00 AM	1
"Wang Chao"	"M"	25	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	67	3	3	10:50:00 AM	1
"Wang Zhu"	"M"	18	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	68	4	4	11:15:00 AM	0
"Wierciński Andrzej"	"M"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	69	5	5	12:10:00 PM	1
"Wu Yuchong"	"M"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	70	6	6	12:35:00 PM	0
"Xu Zi"	"M"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	71	7	7	01:00:00 PM	1
"Yang Yike (Tony)"	"M"	17	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	72	8	8	01:25:00 PM	1
"Yermalayeva Yuliya"	"F"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	73	9	1	05:00:00 PM	0
"Zhang Chuhan"	"F"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	74	10	2	05:25:00 PM	0
"Zhang Cheng"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	75	11	3	05:50:00 PM	1
"Zhou Annie"	"F"	17	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	76	12	4	06:15:00 PM	1
"Ann Soo Jung"	"F"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	77	13	5	07:10:00 PM	1
"Arishima Miyako"	"F"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/07/15	78	14	6	07:35:00 PM	1
"Byrdy Łukasz Piotr"	"M"	21	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	1	1	1	10:00:00 AM	0
"Candotti Michelle"	"F"	19	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	2	2	2	10:35:00 AM	0
"Caroccia Luigi"	"M"	24	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	3	3	3	11:10:00 AM	1
"Chistiakova Galina"	"F"	28	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	4	4	4	12:15:00 PM	1
"Cho Seong Jin"	"M"	21	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	5	5	5	12:50:00 PM	1
"Gyöngyösi Ivett"	"F"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	6	6	6	01:25:00 PM	0
"Han Chi Ho"	"M"	23	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	7	7	1	05:00:00 PM	1
"Hansen Olof"	"M"	25	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	8	8	2	05:35:00 PM	0
"Jia Julian Zhi Chao"	"M"	24	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	9	9	3	06:10:00 PM	0
"Jurinić Aljoša"	"M"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	10	10	4	07:15:00 PM	1
"Kim Su Yeon"	"F"	21	"17th Chopin Piano Competition"	"Stage 2"	2	10/09/15	11	11	5	07:50:00 PM	1
"Klinton Dinara"	"F"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	12	1	1	10:00:00 AM	1
"Kobayashi Aimi"	"F"	20	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	13	2	2	10:35:00 AM	1
"Kong Qi"	"M"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	14	3	3	11:10:00 AM	0
"Kozák Marek"	"M"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	15	4	4	12:15:00 PM	1
"Krupiński Łukasz"	"M"	23	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	16	5	5	12:50:00 PM	1
"Książek Krzysztof"	"M"	23	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	17	6	6	01:25:00 PM	1
"Kudo Rachel Naomi"	"F"	28	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	18	7	1	05:00:00 PM	0
"Liu Kate"	"F"	21	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	19	8	2	05:35:00 PM	1
"Lu Eric"	"M"	18	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	20	9	3	06:10:00 PM	1
"Mikołajczyk Łukasz"	"M"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	21	10	4	07:15:00 PM	0
"Mouza Alexia"	"F"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/10/15	22	11	5	07:50:00 PM	0
"Nakagawa Mayaka"	"F"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	23	1	1	10:00:00 AM	0
"Nehring Szymon"	"M"	20	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	24	2	2	10:35:00 AM	1
"Nowak Piotr"	"M"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	25	3	3	11:10:00 AM	0
"Onoda Arisa"	"F"	19	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	26	4	4	12:15:00 PM	0
"Osokins Georgijs"	"M"	20	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	27	5	5	12:50:00 PM	1
"Park Jinhyung"	"M"	19	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	28	6	6	01:25:00 PM	0
"Richard-Hamelin Charles"	"M"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	29	7	1	05:00:00 PM	1
"Shishkin Dmitry"	"M"	23	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	30	8	2	05:35:00 PM	1
"Sudo Rina"	"F"	28	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	31	9	3	06:10:00 PM	0
"Szymanowski Michał"	"M"	27	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	32	10	4	07:15:00 PM	0
"Tarsevich-Nikolaev Arseny"	"M"	22	"17th Chopin Piano Competition"	"Stage 2"	2	10/11/15	33	11	5	07:50:00 PM	0
"Tartakovsky Alexei"	"M"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	34	1	1	10:00:00 AM	1
"Ullman Alexander"	"M"	24	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	35	2	2	10:35:00 AM	0
"Wang Chao"	"M"	25	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	36	3	3	11:10:00 AM	0
"Wierciński Andrzej"	"M"	20	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	37	4	4	12:15:00 PM	0
"Xu Zi"	"M"	21	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	38	5	5	12:50:00 PM	1
"Yang Yike (Tony)"	"M"	17	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	39	6	1	05:00:00 PM	1
"Zhang Cheng"	"M"	26	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	40	7	2	05:35:00 PM	0
"Zhou Annie"	"F"	17	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	41	8	3	06:10:00 PM	0
"Ann Soo Jung"	"F"	28	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	42	9	4	07:15:00 PM	0
"Arishima Miyako"	"F"	23	"17th Chopin Piano Competition"	"Stage 2"	2	10/12/15	43	10	5	07:50:00 PM	0
"Chistiakova Galina"	"F"	28	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	1	1	1	10:00:00 AM	0
"Cho Seong Jin"	"M"	21	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	2	2	2	10:55:00 AM	1
"Han Chi Ho"	"M"	23	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	3	3	3	12:20:00 PM	0
"Jurinić Aljoša"	"M"	26	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	4	4	4	01:15:00 PM	1
"Kim Su Yeon"	"F"	21	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	5	5	1	05:00:00 PM	0
"Klinton Dinara"	"F"	26	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	6	6	2	05:55:00 PM	0
"Kobayashi Aimi"	"F"	20	"17th Chopin Piano Competition"	"Stage 3"	3	10/14/15	7	7	3	07:20:00 PM	1
"Kozák Marek"	"M"	22	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	8	1	1	10:00:00 AM	0
"Krupiński Łukasz"	"M"	23	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	9	2	2	10:55:00 AM	0
"Książek Krzysztof"	"M"	23	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	10	3	3	12:20:00 PM	0
"Liu Kate"	"F"	21	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	11	4	4	01:15:00 PM	1
"Lu Eric"	"M"	18	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	12	5	5	05:00:00 PM	1
"Nehring Szymon"	"M"	20	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	13	6	6	05:55:00 PM	1
"Osokins Georgijs"	"M"	20	"17th Chopin Piano Competition"	"Stage 3"	3	10/15/15	14	7	7	07:20:00 PM	1
"Richard-Hamelin Charles"	"M"	26	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	15	1	1	10:00:00 AM	1
"Shishkin Dmitry"	"M"	23	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	16	2	2	10:55:00 AM	1
"Tartakovsky Alexei"	"M"	26	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	17	3	3	12:20:00 PM	0
"Xu Zi"	"M"	21	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	18	4	4	01:15:00 PM	0
"Yang Yike (Tony)"	"M"	17	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	19	5	1	05:00:00 PM	1
"Caroccia Luigi"	"M"	24	"17th Chopin Piano Competition"	"Stage 3"	3	10/16/15	20	6	2	05:55:00 PM	0
"Cho Seong Jin"	"M"	21	"17th Chopin Piano Competition"	"Final"	4	10/18/15	1	1	1	06:00:00 PM	1
"Jurinić Aljoša"	"M"	26	"17th Chopin Piano Competition"	"Final"	4	10/18/15	2	2	2	06:40:00 PM	0
"Kobayashi Aimi"	"F"	20	"17th Chopin Piano Competition"	"Final"	4	10/18/15	3	3	3	07:50:00 PM	0
"Liu Kate"	"F"	21	"17th Chopin Piano Competition"	"Final"	4	10/18/15	4	4	4	08:30:00 PM	1
"Lu Eric"	"M"	18	"17th Chopin Piano Competition"	"Final"	4	10/19/15	5	1	1	06:00:00 PM	1
"Nehring Szymon"	"M"	20	"17th Chopin Piano Competition"	"Final"	4	10/19/15	6	2	2	06:40:00 PM	0
"Osokins Georgijs"	"M"	20	"17th Chopin Piano Competition"	"Final"	4	10/19/15	7	3	3	07:50:00 PM	0
"Richard-Hamelin Charles"	"M"	26	"17th Chopin Piano Competition"	"Final"	4	10/20/15	8	1	1	06:00:00 PM	1
"Shishkin Dmitry"	"M"	23	"17th Chopin Piano Competition"	"Final"	4	10/20/15	9	2	2	06:40:00 PM	1
"Yang Yike (Tony)"	"M"	17	"17th Chopin Piano Competition"	"Final"	4	10/20/15	10	3	3	07:50:00 PM	1
"Kim Yoonji"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	1	1	1	03:00:00 PM	1
"Sun Jun"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	2	2	2		0
"Bensaïd Dina"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	3	3	3		0
"Kim Youbin"	"F"		"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	4	4	4		0
"Ji Yukyeong"	"F"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	5	5	5		0
"Pisareva Nadezda"	"F"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	6	6	6		1
"Park Juyoung"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	7	7	7		0
"Park Joo Hyeon"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	8	8	1	08:00:00 PM	0
"Hansen Olof"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	9	9	2		0
"Cho Jun Hwi"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	10	10	3		1
"Fu George Xiaoyuan"	"M"		"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	11	11	4		0
"Pierdomenico Leonardo"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	12	12	5		1
"Kim Dongkyu"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/02/16	13	13	6		1
"Imada Atsushi"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	14	1	1	03:00:00 PM	1
"Van de Velde Yannick"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	15	2	2		0
"Treutler Annika"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	16	3	3		0
"Sokolovskaya Natalia"	"F"		"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	17	4	4		0
"Lee Eun Ae"	"F"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	18	5	5		1
"Beyer Alexander"	"M"	22	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	19	6	6		1
"Poizat Francois-Xavier"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	20	7	7		0
"Berezovsky Evelyne"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	21	8	1	08:00:00 PM	0
"Cheung Rachel"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	22	9	2		0
"Kim Ye Seul"	"F"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	23	10	3		0
"Kim Sungpil"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	24	11	4		0
"Daneshpour Sara"	"F"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	25	12	5		0
"Kim Saetbyeol"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/03/16	26	13	6		0
"Han Hee Jun"	"F"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	27	1	1	03:00:00 PM	0
"Lin Brian Yuebing"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	28	2	2		0
"Rolim Ronaldo"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	29	3	3		0
"Suh Hans H."	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	30	4	4		1
"Noack Florian"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	31	5	5		0
"Kim Myunghyun"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	32	6	6		0
"Sun Jiayan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	33	7	7		0
"Zhdanov Denis"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	34	8	1	08:00:00 PM	1
"Wong Evan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	35	9	2		1
"Zhou Ning"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	36	10	3		1
"Dmytrenko Anna"	"F"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	37	11	4		0
"Cai Sheng"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	38	12	5		0
"Tartakovsky Alexei"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	39	13	6		0
"Kim Su Yeon"	"F"	22	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	40	1	1	03:00:00 PM	1
"Gouin Nathanaël"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	41	2	2		0
"Takagi Ryoma"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	42	3	3		0
"Sychev Alexey"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	43	4	4		0
"Laurent-Grandpre Franck"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	44	5	5		0
"Lapaz Enrique"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	45	6	6		0
"Jurinić Aljoša"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	46	7	7		1
"Yoon Jung Eun"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	47	8	1	08:00:00 PM	0
"Vassilenko Victoria"	"F"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	48	9	2		0
"Horváth Benedek"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	49	10	3		0
"Han Chi Ho"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	50	11	4		1
"Jittakarn San"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	51	12	5		1
"Dubov Andrey"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	52	13	6		0
"Kim Hong Gi"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	53	1	1	03:00:00 PM	0
"Bulkina Anna"	"F"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	54	2	2		0
"Yasynskyy Artem"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	55	3	3		0
"Klinton Dinara"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	56	4	4		1
"Won Jong Ho"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	57	5	5		0
"Gologan Andrei"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	58	6	6		0
"Sakai Arisa"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	59	7	1	08:00:00 PM	0
"Rajeshkumar Kausikan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	60	8	2		0
"Marthan Aurèle"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	61	9	3		0
"Weng Larry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	62	10	4		1
"Huang Ruoyu"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	63	11	5		1
